strategy,techns,salary,cost,revenue,proposal,assigned,worker,companies,clients,alltechns,stations
HARD,125,40.0,30000.0,15541.0,1576,630,2250,6,90,688,9
HARD,125,40.0,30000.0,13119.1,1576,517,2250,6,90,688,9
EASY,176,40.0,42240.0,2904.0,1618,113,3168,6,90,688,9
HARD,125,40.0,30000.0,7090.0,1570,265,2250,6,90,688,9
EASY,103,40.0,24720.0,1034.5,1420,39,1854,6,90,688,9
HARD,34,40.0,8160.0,1618.1,579,63,612,6,90,688,9
HARD,53,33.0,6996.0,6841.0,610,259,636,6,80,330,5
HARD,53,33.0,6996.0,4242.7,610,159,636,6,80,330,5
EASY,59,33.0,7788.0,3292.8,655,132,708,6,80,330,5
HARD,32,33.0,4224.0,2624.0,372,93,384,6,80,330,5
EASY,59,33.0,7788.0,3746.0,655,145,708,6,80,330,5
EASY,74,33.0,9768.0,4790.1,748,194,888,6,80,330,5
HARD,125,21.0,23625.0,15821.5,3360,609,3375,9,196,1231,7
EASY,180,21.0,34020.0,20527.2,4471,853,4860,9,196,1231,7
EASY,177,21.0,33453.0,18964.5,4396,790,4779,9,196,1231,7
EASY,177,21.0,33453.0,10385.0,4396,403,4779,9,196,1231,7
HARD,71,21.0,13419.0,5792.0,1830,207,1917,9,196,1231,7
HARD,125,21.0,23625.0,28391.5,3360,1115,3375,9,196,1231,7
HARD,125,21.0,23625.0,23418.6,3360,910,3375,9,196,1231,7
EASY,180,21.0,34020.0,6103.1,4471,247,4860,9,196,1231,7
HARD,71,21.0,13419.0,10201.6,1830,384,1917,9,196,1231,7
HARD,104,16.0,4992.0,223.3,934,9,936,9,176,915,8
EASY,91,16.0,4368.0,3643.2,783,149,819,9,176,915,8
HARD,104,16.0,4992.0,323.0,934,13,936,9,176,915,8
EASY,91,16.0,4368.0,6410.0,783,251,819,9,176,915,8
HARD,111,16.0,5328.0,9929.9,993,366,999,9,176,915,8
EASY,91,16.0,4368.0,0.0,783,0,819,9,176,915,8
EASY,101,16.0,4848.0,3549.1,876,146,909,9,176,915,8
HARD,111,16.0,5328.0,13296.5,993,512,999,9,176,915,8
HARD,111,16.0,5328.0,1054.5,993,42,999,9,176,915,8
HARD,29,27.0,7047.0,13580.4,708,504,783,9,144,775,8
EASY,80,27.0,19440.0,4968.4,2032,200,2160,9,144,775,8
EASY,152,27.0,36936.0,21255.7,3358,858,4104,9,144,775,8
HARD,21,27.0,5103.0,1794.6,417,63,567,9,144,775,8
EASY,80,27.0,19440.0,5940.0,2032,232,2160,9,144,775,8
EASY,152,27.0,36936.0,23512.8,3358,939,4104,9,144,775,8
EASY,152,27.0,36936.0,13120.3,3358,507,4104,9,144,775,8
HARD,29,27.0,7047.0,5944.3,708,216,783,9,144,775,8
EASY,80,27.0,19440.0,7737.5,2032,310,2160,9,144,775,8
EASY,189,43.0,130032.0,5303.4,5175,220,9072,8,112,1192,4
EASY,189,43.0,130032.0,8449.3,5175,334,9072,8,112,1192,4
EASY,86,43.0,59168.0,4375.4,3885,178,4128,8,112,1192,4
EASY,86,43.0,59168.0,6259.0,3885,240,4128,8,112,1192,4
HARD,180,43.0,123840.0,11022.3,5175,443,8640,8,112,1192,4
HARD,93,43.0,63984.0,59215.2,4314,2389,4464,8,112,1192,4
EASY,189,43.0,130032.0,6080.8,5175,240,9072,8,112,1192,4
HARD,180,43.0,123840.0,27760.2,5175,1131,8640,8,112,1192,4
HARD,156,34.0,63648.0,10471.2,1631,427,5616,7,44,598,4
HARD,39,34.0,15912.0,4525.5,1259,179,1404,7,44,598,4
EASY,60,34.0,24480.0,3521.9,1541,144,2160,7,44,598,4
HARD,39,34.0,15912.0,2349.5,1259,87,1404,7,44,598,4
HARD,156,34.0,63648.0,5563.4,1631,214,5616,7,44,598,4
HARD,39,34.0,15912.0,7851.4,1259,315,1404,7,44,598,4
EASY,109,34.0,44472.0,6713.6,1631,265,3924,7,44,598,4
EASY,93,32.0,11904.0,0.0,226,0,1116,8,20,964,4
EASY,91,32.0,11648.0,247.4,226,9,1092,8,20,964,4
EASY,91,32.0,11648.0,0.0,226,0,1092,8,20,964,4
HARD,180,32.0,23040.0,1724.5,226,67,2160,8,20,964,4
EASY,93,32.0,11904.0,1107.0,226,41,1116,8,20,964,4
HARD,180,32.0,23040.0,527.3,226,22,2160,8,20,964,4
EASY,93,32.0,11904.0,0.0,226,0,1116,8,20,964,4
HARD,143,32.0,18304.0,2152.1,226,87,1716,8,20,964,4
HARD,174,38.0,99180.0,55312.4,5819,2176,7830,5,135,807,9
EASY,118,38.0,67260.0,30095.8,4613,1230,5310,5,135,807,9
EASY,168,38.0,95760.0,47948.2,5648,1928,7560,5,135,807,9
EASY,168,38.0,95760.0,3886.0,5648,145,7560,5,135,807,9
HARD,179,38.0,102030.0,13984.9,5854,538,8055,5,135,807,9
HARD,164,49.0,16072.0,142.5,792,6,984,7,140,835,5
HARD,133,49.0,13034.0,6681.5,725,258,798,7,140,835,5
HARD,164,49.0,16072.0,522.5,792,21,984,7,140,835,5
HARD,164,49.0,16072.0,10316.6,792,389,984,7,140,835,5
EASY,73,49.0,7154.0,3385.0,424,132,438,7,140,835,5
EASY,64,49.0,6272.0,0.0,373,0,384,7,140,835,5
EASY,73,49.0,7154.0,341.6,424,14,438,7,140,835,5
EASY,63,37.0,23310.0,12376.1,1838,521,1890,6,162,845,9
HARD,169,37.0,62530.0,18507.1,4332,724,5070,6,162,845,9
HARD,173,37.0,64010.0,27761.7,4390,1110,5190,6,162,845,9
EASY,102,37.0,37740.0,3783.8,2894,149,3060,6,162,845,9
HARD,169,37.0,62530.0,13502.0,4332,509,5070,6,162,845,9
HARD,169,37.0,62530.0,42638.1,4332,1723,5070,6,162,845,9
HARD,26,48.0,23712.0,7881.4,1411,312,1482,9,72,770,9
HARD,32,48.0,29184.0,6525.5,1746,256,1824,9,72,770,9
HARD,26,48.0,23712.0,4791.7,1411,189,1482,9,72,770,9
EASY,100,48.0,91200.0,20732.5,3778,838,5700,9,72,770,9
EASY,176,48.0,160512.0,4061.0,4057,152,10032,9,72,770,9
